# Hyperparameters: model=e5-base, conditioner=lowrank, low_rank=4, film_parameterization=polar, canonicalizer=none, objective=infonce, temperature=0.05, modulation_scale=0.15, score_alpha=0.35, learning_rate=0.001, epochs=200, train_queries=8, modulation_mode=full
dataset,baseline_ndcg10,film_mixed_ndcg10,film_only_ndcg10,delta_mixed,delta_only
arguana,0.44305,0.54518,0.47724,0.10213,0.03419
climate-fever,0.26434,0.33122,0.28408,0.06688,0.01974
dbpedia-entity,0.42223,0.42105,0.39838,-0.00118,-0.02385
fiqa,0.39818,0.3761,0.28105,-0.02208,-0.11713
nfcorpus,0.35406,0.34257,0.23969,-0.01149,-0.11437
scidocs,0.18526,0.18157,0.10058,-0.00369,-0.08468
scifact,0.71947,0.71252,0.65691,-0.00695,-0.06256
trec-covid,0.58748,0.63358,0.66272,0.0461,0.07524
webis-touche2020,0.2213,0.23952,0.19512,0.01822,-0.02618
fever,0.84972,0.85615,0.85061,0.00643,0.00089
hotpotqa,0.69149,0.68961,0.66241,-0.00188,-0.02908
MACRO_AVERAGE,0.46696,0.48446,0.43716,0.0175,-0.0298
