# Hyperparameters: model=minilm, conditioner=lowrank, low_rank=4, film_parameterization=rectangular, canonicalizer=none, objective=infonce, temperature=0.05, modulation_scale=0.25, score_alpha=1.0, learning_rate=0.001, epochs=200, train_queries=8, modulation_mode=full
dataset,baseline_ndcg10,film_mixed_ndcg10,film_only_ndcg10,delta_mixed,delta_only
arguana,0.498,0.51909,0.51909,0.02109,0.02109
climate-fever,0.20155,0.23177,0.23177,0.03022,0.03022
dbpedia-entity,0.32362,0.32839,0.32839,0.00477,0.00477
fiqa,0.36877,0.36274,0.36274,-0.00603,-0.00603
nfcorpus,0.31591,0.3081,0.3081,-0.00781,-0.00781
scidocs,0.21521,0.21165,0.21165,-0.00356,-0.00356
scifact,0.6451,0.64978,0.64978,0.00468,0.00468
trec-covid,0.41219,0.56121,0.56121,0.14902,0.14902
webis-touche2020,0.15345,0.21725,0.21725,0.0638,0.0638
fever,0.51927,0.56346,0.56346,0.04419,0.04419
hotpotqa,0.46509,0.46624,0.46624,0.00115,0.00115
MACRO_AVERAGE,0.37438,0.40179,0.40179,0.02741,0.02741
